band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Swir1,Gardner,DSWE1a,LS8,LS7,poly,0.0028937127623731938,NA,0.910429077295699,-1.8158510121278126,-0,0.054
med_Swir2,Gardner,DSWE1a,LS8,LS7,poly,7.917499468290048e-4,NA,0.9503822809993557,-2.208021140473714,0.001,0.039
med_SurfaceTemp,Gardner,DSWE1a,LS8,LS7,poly,430.71263251246893,NA,-1.903148098478532,0.004855177416956724,273.91,304.57
med_Blue,Gardner,DSWE1,LS7,LS8,poly,-0.006512090297416228,NA,0.6514744307254386,3.9086576702461415,0.01,0.095
med_Green,Gardner,DSWE1,LS7,LS8,poly,-0.010598456477649116,NA,1.3321569500071093,-1.4975938056188245,0.011,0.123
med_Red,Gardner,DSWE1,LS7,LS8,poly,-0.007358653666174598,NA,1.1109919621276132,-0.47529343121354467,0.005,0.123
med_Nir,Gardner,DSWE1,LS7,LS8,poly,-0.018218985311191566,NA,1.3748340516937785,-0.96567038826647,0.008,0.093
med_Swir1,Gardner,DSWE1,LS7,LS8,poly,-0.002932220459381374,NA,1.056842262582647,0.7403931519398487,0.002,0.046
med_Swir2,Gardner,DSWE1,LS7,LS8,poly,-5.649948219790336e-4,NA,0.9873370477628327,2.804099254490229,-0,0.035
med_SurfaceTemp,Gardner,DSWE1,LS7,LS8,poly,-511.8834313919724,NA,4.480681335534957,-0.005880292789604913,273.72,301.33
med_Blue,Gardner,DSWE1a,LS7,LS8,poly,-0.006714921943283361,NA,0.6671592217622865,3.628977276018217,0.01,0.095
med_Green,Gardner,DSWE1a,LS7,LS8,poly,-0.0112829711354321,NA,1.3832934730121538,-1.9889945171033812,0.011,0.123
med_Red,Gardner,DSWE1a,LS7,LS8,poly,-0.007024594511124125,NA,1.1008005031336794,-0.4983075227910052,0.005,0.123
med_Nir,Gardner,DSWE1a,LS7,LS8,poly,-0.017491696245033647,NA,1.2723879578972306,2.6164406841586536,0.008,0.095
med_Swir1,Gardner,DSWE1a,LS7,LS8,poly,-0.0029175594846879943,NA,1.0486198502051076,3.59206038142207,0.002,0.047
med_Swir2,Gardner,DSWE1a,LS7,LS8,poly,-6.109396954852688e-4,NA,1.0029850950757908,4.277293634442168,-0,0.035
med_SurfaceTemp,Gardner,DSWE1a,LS7,LS8,poly,-567.7562441615137,NA,4.872013934488942,-0.006563662845280873,273.72,301.38
